Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
61.33,6.144,100,0.2,0.05,0.05,0.002
29.14,6.273,220,0.2,0.005,0.05,0.002
20.148,6.355,320,0.2,0.005,0.05,0.002
13.714,6.383,470,0.2,0.005,0.05,0.002
