Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
60.98,6.207,100,0.2,0.05,0.05,0.002
28.891,6.262,220,0.2,0.005,0.05,0.002
19.751,6.268,320,0.2,0.005,0.05,0.002
13.614,6.355,470,0.2,0.005,0.05,0.002
