Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
194.27,19.99,100,0.2,0.05,0.05,0.002
91.90,19.997,220,0.2,0.05,0.05,0.002
62.82,19.999,320,0.2,0.05,0.05,0.002
42.77,20.001,470,0.2,0.05,0.05,0.002
