Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
97.91,9.816,100,0.2,0.05,0.05,0.002
46.03,9.914,220,0.2,0.05,0.05,0.002
31.497,9.942,320,0.2,0.005,0.05,0.002
21.399,9.961,470,0.2,0.005,0.05,0.002
