Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
63.65,6.496,100,0.2,0.05,0.05,0.002
29.916,6.499,220,0.2,0.005,0.05,0.002
20.479,6.499,320,0.2,0.005,0.05,0.002
13.901,6.500,470,0.2,0.005,0.05,0.002
