Current(mA),Voltage(V),Factory Resistance,Current Percentage Error,Current Last Digit Error,Voltage Percentage Error,Voltage Last Digit Error
63.66,6.380,100,0.2,0.05,0.05,0.002
29.922,6.444,220,0.2,0.005,0.05,0.002
20.485,6.462,320,0.2,0.005,0.05,0.002
13.908,6.475,470,0.2,0.005,0.05,0.002
